file,line,pattern,classification,reason,snippet
C:\Trading\Publish\PrimeViewFX_Static_Site\bearish-cascade-0171dd2ecccd13fa.html,7,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<section class=""panel""><h2>Levels by Bearish Role</h2><div class=""card role-early_continuation_risk""><div class=""card-head""><div><div class=""eyebrow"">early_continuation_risk</div><h3>Continuation Risk</h3></div><span class=""count"">0 levels</span></div><p clas…"
C:\Trading\Publish\PrimeViewFX_Static_Site\bearish-cascade-0171dd2ecccd13fa.html,145,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<span class=""primeviewfx-research-tools-disclaimer"">Research only. Not a trading signal.</span>"
C:\Trading\Publish\PrimeViewFX_Static_Site\bullish-cascade-1ddfa177ade539c0.html,7,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<section class=""panel""><h2>Levels by Bullish Role</h2><div class=""card role-early_continuation_risk""><div class=""card-head""><div><div class=""eyebrow"">early_continuation_risk</div><h3>Continuation Risk</h3></div><span class=""count"">0 levels</span></div><p clas…"
C:\Trading\Publish\PrimeViewFX_Static_Site\bullish-cascade-1ddfa177ade539c0.html,145,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<span class=""primeviewfx-research-tools-disclaimer"">Research only. Not a trading signal.</span>"
C:\Trading\Publish\PrimeViewFX_Static_Site\cascade-research-summary-ff36f349b8cbb7d7.html,34,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<p class=""sub"">Bearish and bullish intraday cascade evidence side-by-side. Created 2026-07-29T07:35:35Z. Overall status: PASSED. Research only. Not a trading signal.</p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\cascade-research-summary-ff36f349b8cbb7d7.html,107,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,<footer>Research only. Not a trading signal.</footer>
C:\Trading\Publish\PrimeViewFX_Static_Site\cascade-research-summary-ff36f349b8cbb7d7.html,247,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<span class=""primeviewfx-research-tools-disclaimer"">Research only. Not a trading signal.</span>"
C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta.html,65,signal,RISKY_PROMO,Risky term without clear disclaimer/negative context.,"<p>Active subscribers also get Directional Boxes (red/bearish, green/bullish) for MetaTrader 5 and TradingView — stacked directional levels where a confirmed close signals a higher likelihood of continuing toward the next one. See <a href=""members-indicators.…"
C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta.html,73,buy,RISKY_PROMO,Risky term without clear disclaimer/negative context.,"<a href=""https://buy.stripe.com/00weVc9acdCLfEgcZC9MY00"" style=""display:inline-block;background:#f7c948;color:#1a1608;font-weight:700;font-family:system-ui,-apple-system,BlinkMacSystemFont,'Segoe UI',sans-serif;padding:12px 22px;border-radius:10px;text-decora…"
C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta.html,83,guaranteed,SAFE_DISCLAIMER,Contains safe context: not a guaranteed signal provider,<li>Not a guaranteed signal provider</li>
